id,condition,angle,rt,accuracy,trial
4,egocentric,-90,990.015,1,33
4,egocentric,90,1058.265,1,34
4,egocentric,45,911.075,1,35
4,egocentric,45,775.6,1,36
4,egocentric,135,1734.62,1,37
4,egocentric,135,1660.185,1,38
4,egocentric,-45,1612.275,1,39
4,egocentric,-45,1484.075,1,40
4,egocentric,180,3208.73,1,41
4,egocentric,-90,1752.17,1,42
4,egocentric,-45,1039.13,1,43
4,egocentric,0,1003.84,1,44
4,egocentric,-135,1901.67,1,45
4,egocentric,135,1694.82,1,46
4,egocentric,135,1534.57,1,47
4,egocentric,-135,1283.59,1,48
4,egocentric,0,983.385,1,49
4,egocentric,90,1650.44,1,50
4,egocentric,90,1167.76,1,51
4,egocentric,45,785.495,1,52
4,egocentric,0,686.56,1,53
4,egocentric,-90,850.69,1,54
4,egocentric,45,959.285,1,55
4,egocentric,0,921.025,1,56
4,egocentric,135,2334.805,1,57
4,egocentric,45,1065.365,1,58
4,egocentric,-45,817.84,1,59
4,egocentric,-90,951.715,1,60
4,egocentric,-90,1282.475,1,61
4,egocentric,180,2277.64,1,62
4,egocentric,45,1045.065,1,63
4,egocentric,90,1193.31,1,64
4,egocentric,-90,1160.465,1,65
4,egocentric,-135,1676.91,1,66
4,egocentric,-45,2066.99,1,67
4,egocentric,180,1702.525,1,68
4,egocentric,0,999.975,1,69
4,egocentric,135,1153.63,1,70
4,egocentric,-135,1843.18,1,71
4,egocentric,-135,3790.245,1,72
4,egocentric,-90,1790.965,1,73
4,egocentric,180,1444.965,1,74
4,egocentric,0,1450.77,1,75
4,egocentric,135,1195.905,1,76
4,egocentric,90,1336.635,1,77
4,egocentric,90,902.505,1,78
4,egocentric,-90,1068.775,1,79
4,egocentric,-90,900.85,1,80
4,egocentric,90,884.21,1,81
4,egocentric,0,752.04,1,82
4,egocentric,-45,710.075,1,83
4,egocentric,-45,670.97,1,84
4,egocentric,0,650.62,1,85
4,egocentric,180,3301.225,1,86
4,egocentric,-90,1166.685,1,87
4,egocentric,135,1685.16,1,88
4,egocentric,-135,NA,0,89
4,egocentric,45,1400.27,1,90
4,egocentric,-90,3021.635,1,91
4,egocentric,-45,1073.88,1,92
4,egocentric,0,638.565,1,93
4,egocentric,-45,1616.055,1,94
