cue,direction,practice_block_loop.thisRepN,practice_block_loop.thisTrialN,practice_block_loop.thisN,practice_block_loop.thisIndex,main_blocks_loop.thisRepN,main_blocks_loop.thisTrialN,main_blocks_loop.thisN,main_blocks_loop.thisIndex,static_isi.started,static_isi.stopped,fixation_pre.started,fixation_pre.stopped,image.started,image.stopped,fixation_post.started,fixation_post.stopped,dots_background.started,dots_background.stopped,dots_stimulus.started,dots_stimulus.stopped,dots_keyboard_response.keys,dots_keyboard_response.started,dots_keyboard_response.stopped,feedback_text.started,feedback_text.stopped,dots_keyboard_response.rt,instruction_main_text.started,instruction_main_text.stopped,instruction_main_keyboard_response.keys,instruction_main_keyboard_response.rt,instruction_main_keyboard_response.started,instruction_main_keyboard_response.stopped,Pseudonym,date,expName,psychopyVersion,frameRate,
right,right,,,,,0,50,50,16,0.03212390199996662,2.0321239019999666,548.59152902,None,548.9606909520003,None,549.9922174340004,None,553.9987148760001,None,553.9987148760001,None,j,553.9987148760001,None,554.712464408,None,0.6746626290000677,,,,,,,JH,2022_Mar_07_1403,rdk-discrimination,2021.2.3,29.96142322942526,
none,left,,,,,0,51,51,44,0.03213328599986198,2.032133285999862,557.212590182,None,558.0144906410001,None,559.0464958720004,None,563.0521164380002,None,563.0521164380002,None,f,563.0521164380002,None,564.100047548,None,1.0001105010001083,,,,,,,JH,2022_Mar_07_1403,rdk-discrimination,2021.2.3,29.96142322942526,
none,right,,,,,0,52,52,79,0.0321137210003144,2.0321137210003144,566.600129594,None,567.8025437320002,None,568.834429644,None,572.8409984960003,None,572.8409984960003,None,j,572.8409984960003,None,573.7198237000002,None,0.8019095610002296,,,,,,,JH,2022_Mar_07_1403,rdk-discrimination,2021.2.3,29.96142322942526,
none,right,,,,,0,53,53,76,0.0321275119999882,2.032127511999988,576.1878541350002,None,576.2900167050002,None,577.3218225400001,None,580.7277913780003,None,580.7277913780003,None,j,580.7277913780003,None,581.410588452,None,0.6174737190003725,,,,,,,JH,2022_Mar_07_1403,rdk-discrimination,2021.2.3,29.96142322942526,
left,left,,,,,0,54,54,5,0.03212683799984006,2.03212683799984,583.9084633060002,None,585.1102471120003,None,586.1092829900003,None,590.1159163460002,None,590.1159163460002,None,f,590.1159163460002,None,591.2504082600003,None,1.0782667359999323,,,,,,,JH,2022_Mar_07_1403,rdk-discrimination,2021.2.3,29.96142322942526,
left,left,,,,,0,55,55,8,0.03207589099974939,2.0320758909997494,593.7462230670003,None,594.5488052650003,None,595.5803301150004,None,600.5871694130001,None,600.5871694130001,None,f,600.5871694130001,None,601.2829760180002,None,0.6465748489999896,,,,,,,JH,2022_Mar_07_1403,rdk-discrimination,2021.2.3,29.96142322942526,
right,right,,,,,0,56,56,17,0.03210429300042961,2.0321042930004296,603.7510979570002,None,603.853294947,None,604.883837374,None,608.888502411,None,608.888502411,None,j,608.888502411,None,609.9738838410003,None,1.0327619360000426,,,,,,,JH,2022_Mar_07_1403,rdk-discrimination,2021.2.3,29.96142322942526,
none,right,,,,,0,57,57,74,0.03238595099992381,2.032385950999924,612.4709491820004,None,612.8390101180003,None,613.8720406070001,None,617.876813463,None,617.876813463,None,j,617.876813463,None,618.4742387840001,None,0.5432526849999704,,,,,,,JH,2022_Mar_07_1403,rdk-discrimination,2021.2.3,29.96142322942526,
none,left,,,,,0,58,58,50,0.03218491600046036,2.0321849160004604,620.9425009650004,None,621.7437239180003,None,622.742840246,None,626.1495146740003,None,626.1495146740003,None,f,626.1495146740003,None,626.7972339360003,None,0.6010283310001796,,,,,,,JH,2022_Mar_07_1403,rdk-discrimination,2021.2.3,29.96142322942526,
none,right,,,,,0,59,59,64,0.03210150999984762,2.0321015099998476,629.2963635280003,None,630.0985381300002,None,631.1305267040002,None,635.637475598,None,635.637475598,None,j,635.637475598,None,636.3997027130004,None,0.6992552110000361,,,,,,,JH,2022_Mar_07_1403,rdk-discrimination,2021.2.3,29.96142322942526,
