trial,ID,cue,direction,response,rt,choice,correct,condition,mean_C,sd_C,trial_type
934,kaja,left,left,0,1.061989600013476,left,1,valid,0.7345113326619624,0.2437698370620411,OK
935,kaja,left,left,0,0.7360222999705002,left,1,valid,0.7345113326619624,0.2437698370620411,OK
936,kaja,right,right,1,0.6273286999785341,right,1,valid,0.7345113326619624,0.2437698370620411,OK
937,kaja,none,left,0,0.5548377999803051,left,1,neutral,0.7716613956494428,0.2299563121835134,OK
938,kaja,left,left,0,0.4997457000426948,left,1,valid,0.7345113326619624,0.2437698370620411,OK
939,kaja,none,right,1,0.7908621999667957,right,1,neutral,0.7716613956494428,0.2299563121835134,OK
940,kaja,left,left,0,0.7318388000130653,left,1,valid,0.7345113326619624,0.2437698370620411,OK
941,kaja,right,right,1,0.7392206999938935,right,1,valid,0.7345113326619624,0.2437698370620411,OK
942,kaja,none,right,0,0.7602788000367582,left,0,neutral,0.7716613956494428,0.2299563121835134,OK
943,kaja,none,right,0,0.6084889000048861,left,0,neutral,0.7716613956494428,0.2299563121835134,OK
944,kaja,left,left,1,0.5016889999969862,right,0,valid,0.7345113326619624,0.2437698370620411,OK
945,kaja,right,right,1,0.6225063999881968,right,1,valid,0.7345113326619624,0.2437698370620411,OK
946,kaja,none,left,0,0.7038327999762259,left,1,neutral,0.7716613956494428,0.2299563121835134,OK
947,LB99,none,right,1,0.6187280979938805,right,1,neutral,0.7716613956494428,0.2299563121835134,OK
948,LB99,left,left,0,0.5668269998859614,left,1,valid,0.7345113326619624,0.2437698370620411,OK
