trial,ID,cue,direction,response,rt,choice,correct,condition
22,SS91,left,left,0,0.6456379000010202,left,1,valid
23,SS91,left,left,1,0.9923239000054308,right,0,valid
24,SS91,none,left,0,0.3242026999942027,left,1,neutral
25,SS91,none,left,0,0.4556490999966627,left,1,neutral
26,SS91,right,left,1,0.4587333999952534,right,0,invalid
27,SS91,none,right,0,0.573839599994244,left,0,neutral
28,SS91,left,left,1,0.6761222999921301,right,0,valid
29,SS91,right,right,0,0.5102860999904806,left,0,valid
30,SS91,right,right,1,0.32310799999686424,right,1,valid
31,SS91,none,right,1,0.8022612999920966,right,1,neutral
32,SS91,right,right,1,0.5520480000122916,right,1,valid
33,SS91,right,right,1,0.35393399999884423,right,1,valid
34,SS91,none,right,1,0.5468586000060895,right,1,neutral
35,SS91,none,right,0,0.5936017999920296,left,0,neutral
36,SS91,none,left,1,0.931625900004292,right,0,neutral
37,SS91,left,left,0,0.6777393000083975,left,1,valid
38,SS91,right,left,1,0.80003969999961555,right,0,invalid
39,SS91,left,left,0,0.32851259999733884,left,1,valid
40,SS91,none,left,1,0.8665357999998378,right,0,neutral
41,SS91,none,right,0,0.6336860000010347,left,0,neutral
42,SS91,none,right,1,0.5599980999977561,right,1,neutral
43,SS91,left,right,0,0.35263349999149796,left,0,invalid
44,SS91,none,right,1,0.4491701999941142,right,1,neutral
45,SS91,right,right,1,0.3455065000016475,right,1,valid
46,SS91,left,left,1,0.642881399995531,right,0,valid
47,SS91,left,left,0,0.3066106000042055,left,1,valid
48,SS91,left,left,0,0.5731866999994963,left,1,valid
49,SS91,none,right,1,0.3848531999974512,right,1,neutral
50,SS91,left,right,0,0.4236226000066381,left,0,invalid
51,SS91,none,right,1,0.33852409999235533,right,1,neutral
52,SS91,right,left,1,0.416739400010556,right,0,invalid
53,SS91,none,right,0,0.5890896999917459,left,0,neutral
54,SS91,none,left,1,0.5834750999929383,right,0,neutral
55,SS91,none,left,1,0.6430928999907337,right,0,neutral
56,SS91,none,right,0,0.648259199995664,left,0,neutral
57,SS91,none,left,1,0.49132109999482054,right,0,neutral
58,SS91,left,left,0,0.383018099993933,left,1,valid
59,SS91,none,right,1,0.6057178999908501,right,1,neutral
60,SS91,left,left,0,0.4516328000026988,left,1,valid
61,SS91,none,left,1,0.557947499997681,right,0,neutral
62,SS91,right,right,1,0.39278039999771863,right,1,valid
63,SS91,none,left,1,0.670143299998017,right,0,neutral
64,SS91,left,right,0,0.3910087999975076,left,0,invalid
65,SS91,right,right,1,0.4288325999950757,right,1,valid
66,SS91,left,left,0,0.4092873000045074,left,1,valid
67,SS91,left,left,1,0.862427200001548,right,0,valid
68,SS91,right,right,1,0.41181769999093376,right,1,valid
69,SS91,none,left,1,0.571382199996151,right,0,neutral
70,SS91,right,left,1,0.498837100007222,right,0,invalid
71,SS91,none,right,1,0.5672639999975218,right,1,neutral
72,SS91,none,right,1,0.39700910000829026,right,1,neutral
73,SS91,left,left,0,0.4197837999963667,left,1,valid
74,SS91,right,right,1,0.39593039998726454,right,1,valid
75,SS91,right,right,1,0.46823319999384694,right,1,valid
76,SS91,none,right,1,0.8359252999944147,right,1,neutral
77,SS91,none,right,1,0.32808530000329483,right,1,neutral
78,SS91,none,left,1,0.3506351999967592,right,0,neutral
79,SS91,none,left,1,0.48434360000828747,right,0,neutral
80,SS91,right,right,0,0.4115772999939509,left,0,valid
81,SS91,none,left,1,0.4032144999946467,right,0,neutral
82,SS91,none,left,0,0.4670732999948086,left,1,neutral
83,SS91,right,right,1,0.44622979999985546,right,1,valid
84,SS91,none,left,1,0.41650659999868367,right,0,neutral
85,SS91,none,right,0,0.8656954000034602,left,0,neutral
86,SS91,left,left,0,0.40518870000960305,left,1,valid
87,SS91,none,right,0,0.6921643000096083,left,0,neutral
88,SS91,left,left,1,0.39811209999606945,right,0,valid
89,SS91,none,left,1,0.4730822999990778,right,0,neutral
90,SS91,left,left,0,0.3352945000078762,left,1,valid
91,SS91,none,right,0,0.4304427999886684,left,0,neutral
92,SS91,none,right,1,0.4375224000104936,right,1,neutral
93,SS91,right,right,1,0.37277430000540335,right,1,valid
94,SS91,none,right,1,0.3695590999996057,right,1,neutral
95,SS91,left,right,0,0.5763395999965724,left,0,invalid
96,SS91,none,right,1,0.6227244000037899,right,1,neutral
97,SS91,none,right,0,0.4289613000000827,left,0,neutral
98,SS91,none,left,1,0.3206642000004649,right,0,neutral
99,SS91,left,left,0,0.37686869999743067,left,1,valid
100,SS91,none,left,0,0.2970921000087401,left,1,neutral
101,SS91,right,right,1,0.4265902999904938,right,1,valid
102,SS91,right,left,1,0.582940200009034,right,0,invalid
103,SS91,right,right,1,0.32190409999748226,right,1,valid
104,SS91,right,right,1,0.3233131000015419,right,1,valid
105,SS91,right,right,1,0.2874015999987023,right,1,valid
106,SS91,none,right,1,0.4459717999998247,right,1,neutral
107,SS91,right,right,1,0.5416820000100415,right,1,valid
108,SS91,none,right,1,0.36314869999478105,right,1,neutral
109,SS91,left,left,0,0.42953920000582,left,1,valid
110,SS91,left,right,0,0.7413053000054788,left,0,invalid
111,SS91,left,left,1,0.6043667000049027,right,0,valid
112,SS91,none,right,1,0.3648715000017546,right,1,neutral
113,SS91,none,right,1,0.8534893000032753,right,1,neutral
114,SS91,left,left,0,0.3094347000005655,left,1,valid
115,SS91,none,right,1,0.31933179999759886,right,1,neutral
116,SS91,none,left,0,0.48312169998825993,left,1,neutral
117,SS91,none,left,1,0.3784287000016775,right,0,neutral
118,SS91,right,right,1,0.3553950000059558,right,1,valid
119,SS91,right,left,1,0.35299419998773374,right,0,invalid
120,SS91,none,left,0,0.8648647000081837,left,1,neutral
121,SS91,right,right,1,0.4173825000034413,right,1,valid
122,SS91,none,left,0,0.3594069000100717,left,1,neutral
123,SS91,none,right,1,0.3043831999966642,right,1,neutral
124,SS91,none,left,0,0.3991688999958569,left,1,neutral
125,SS91,right,right,1,0.39495159999933094,right,1,valid
126,SS91,none,left,0,0.3276023000071291,left,1,neutral
127,SS91,left,left,0,0.7072217999957502,left,1,valid
128,SS91,none,right,1,0.3337653000053251,right,1,neutral
129,SS91,left,left,0,0.7241232000087621,left,1,valid
