subject,imagery,signal_present,correct,rt
3,0,0,1,0.5512000000476838
3,0,1,1,0.4133999999761581
3,0,0,1,0.6285
3,0,1,1,0.453
3,0,0,1,0.6138999999761582
3,0,1,1,1.2026999999284744
3,0,0,1,1.1392000000476834
3,0,1,1,0.20969999992847443
3,0,0,1,0.3495
3,0,1,1,0.29810000002384185
3,0,0,1,0.5707999999523163
3,0,0,0,32.09389999997616
3,0,1,1,1.2262000000476836
3,0,1,1,0.7173999999761581
3,0,1,1,1.0195
3,0,1,1,0.9087000000476836
3,0,0,1,1.1968999999761578
3,0,1,1,6.517600000023842
3,0,1,1,0.4265
3,0,1,1,4.622699999928474
3,0,0,1,0.629
3,0,0,1,0.6456999999284744
3,0,0,1,3.100899999976158
3,0,1,1,0.8482999999523163
3,0,1,1,1.3967999999523164
3,0,1,0,2.4002999999523165
3,0,1,0,0.7715
3,0,0,0,4.230399999976158
3,0,0,1,0.6171000000238419
3,0,0,1,0.7497999999523163
3,0,1,0,2.714099999904633
3,0,0,1,0.8492000000476837
3,0,0,0,8.630100000023841
3,0,0,1,2.9027999999523164
3,0,0,1,140.48910000002385
3,1,0,0,2.1293000000715256
3,1,0,1,1.8305
3,1,1,1,6.297699999928475
3,1,1,1,1.8665999999046328
3,1,1,1,0.456
3,1,0,0,0.8318999999761582
3,1,0,0,1.0972000000476836
3,1,0,1,1.1363999999761578
3,1,0,1,1.3071999999284745
3,1,1,1,1.088100000023842
3,1,1,1,0.45639999997615815
3,1,1,1,0.32440000009536746
3,1,1,1,0.2617999999523163
3,1,1,1,0.276
3,1,0,1,0.795
3,1,1,1,0.4331999999284744
3,1,1,1,0.382
3,1,0,0,0.4238999999761581
3,1,0,1,0.5866000000238418
3,1,0,1,0.395
3,1,1,1,0.29260000002384184
3,1,1,1,0.27220000004768374
3,1,0,1,0.4355
3,1,0,1,0.3454000000953674
3,1,1,0,2.276600000023842
3,1,1,0,0.6808999999761581
3,1,0,1,1.5373999999761578
3,1,1,1,0.917899999976158
3,1,1,1,0.549
3,1,0,0,12.304399999976159
3,1,0,1,1.193
3,1,1,1,0.6498999999761581
3,1,1,0,1.407399999976158
3,1,0,0,0.4427999999523163
3,1,0,1,1.9543000000715256
3,1,0,1,0.6225
3,1,1,0,0.999399999976158
3,1,0,1,0.609
3,1,1,0,2.472
3,1,0,1,0.7251000000238419
3,1,1,1,0.39620000004768374
3,1,0,1,0.9834000000953674
3,1,1,1,0.23860000002384182
3,1,0,0,0.35880000007152557
3,1,1,1,20.66419999992847
3,1,0,1,0.980600000023842
3,1,1,0,0.904399999976158
3,1,0,1,1.5637000000476835
3,0,1,1,3.979900000095367
3,0,0,0,0.2025
3,0,0,0,0.29510000002384185
3,0,1,1,0.44560000002384187
3,0,1,1,0.17480000007152557
3,0,0,0,12.947699999928474
3,0,1,1,0.9132000000476836
3,0,0,0,22.0895
3,0,1,1,1.9686999999284744
3,0,0,1,6.256600000023842
3,0,0,1,0.3762000000476837
3,0,0,1,0.41929999995231626
3,0,1,1,0.2747999999523163
3,0,1,1,0.639
3,0,0,1,0.7805
3,0,1,1,0.636
3,0,1,0,7.2061000000238415
3,0,1,1,0.3246000000238419
3,0,0,0,6.524
3,0,0,1,0.5951999999284744
3,0,0,0,0.5245
3,0,1,1,0.07209999990463258
3,0,1,1,0.5013999999761581
3,0,0,1,0.4642000000476837
3,1,0,1,1.771899999976158
3,1,0,1,0.8961000000238418
3,1,1,1,5.759199999928475
3,1,1,1,0.5806000000238418
3,1,1,1,0.4947000000476837
3,1,0,0,0.35780000007152557
3,1,1,1,1.0896000000238422
3,1,0,1,0.524
3,1,1,0,0.7847999999523163
3,1,0,0,0.7673999999761582
3,1,1,1,53.080799999952326
3,1,0,0,0.38320000004768373
3,1,0,0,7.992
3,1,0,0,0.7407999999523163
3,1,1,1,0.2582999999523163
3,1,1,1,2.592399999976158
3,1,0,0,2.6715
3,1,1,1,1.777
3,1,0,1,0.31110000002384186
3,1,1,1,0.6428999999761581
3,1,0,1,0.7717999999523163
3,1,0,1,0.4306999999284744
3,1,1,1,0.7428999999761582
3,1,1,1,0.4428000000715256
3,0,0,0,8.361399999976157
3,0,1,1,0.5682000000476837
3,0,1,1,0.2863999999761581
3,0,1,1,0.41110000002384184
3,0,1,1,0.7457999999523163
3,0,1,1,0.29510000002384185
3,0,0,1,1.13
3,0,0,0,0.43389999997615813
3,0,0,0,0.3875
3,0,1,0,3.8118999999761582
3,0,0,1,1.3818999999761579
3,0,1,1,0.5382999999523163
3,0,1,0,0.8226000000238418
3,0,0,0,0.3687000000476837
3,0,1,0,0.6830999999046325
3,0,0,1,0.488
3,0,0,1,1.2462000000476834
3,0,1,0,0.5133000000715255
3,0,0,0,0.37759999990463256
3,0,0,1,0.40260000002384183
3,0,0,1,0.39339999997615815
3,0,0,1,0.55
3,0,1,1,0.4417000000476837
3,0,1,1,0.383
3,1,1,0,277.1682000000477
3,1,1,0,0.9461999999284745
3,1,0,1,1.7653000000715255
3,1,1,1,0.935100000023842
3,1,0,1,3.714100000023842
3,1,1,0,231.01889999997616
3,1,1,1,0.7322999999523163
3,1,0,1,0.4205999999046326
3,1,1,1,0.3527000000476837
3,1,0,0,1.1401000000238422
3,1,0,1,2.699600000023842
3,1,1,1,0.6835
3,1,1,0,0.8202999999523163
3,1,1,1,0.34530000007152556
3,1,1,1,0.32539999997615815
3,1,1,1,7.4045
3,1,0,1,1.565100000023842
3,1,0,0,7.366
3,1,0,1,1.3176000000238421
3,1,0,1,0.42689999997615813
3,1,0,1,0.2961999999284744
3,1,0,1,0.34489999997615817
3,1,0,1,0.33889999997615816
3,1,1,1,0.41830000007152557
3,1,1,1,1.6678000000715256
3,1,0,1,2.4038000000715254
3,1,0,0,10.708799999952316
3,1,1,1,1.2351000000238421
3,1,0,0,0.46560000002384183
3,1,1,1,0.176
3,1,0,1,1.5148000000715256
3,1,1,1,0.08810000002384186
3,1,0,0,1.8815
3,1,1,1,0.21390000009536744
3,1,1,1,1.1875
3,1,0,1,0.3775
3,1,0,1,0.6638999999761581
3,1,0,1,0.2942000000476837
3,1,0,1,0.6572000000476838
3,1,1,1,0.2535
3,1,0,1,0.9342999999523164
3,1,1,0,1.1175
3,1,0,1,1.9603000000715256
3,1,1,1,1.9005
3,1,1,0,2.906600000023842
3,1,1,1,0.6723999999761582
3,1,0,0,2.959700000047684
3,1,1,1,0.9727999999523164
3,1,0,1,5.929
3,1,1,1,0.8697999999523163
3,1,1,1,0.36689999997615813
3,1,0,1,0.7237000000476838
3,1,1,1,0.584
3,1,0,0,0.3291000000238419
3,1,1,1,1.9745
3,1,1,0,0.09829999995231628
3,1,0,0,0.4545
3,1,1,1,0.36560000002384185
3,1,1,1,0.18010000002384186
3,1,0,0,0.07370000004768372
3,1,1,1,0.23860000002384182
3,1,1,1,2.407
3,1,1,1,2.355900000095367
3,1,0,0,1.5577999999523164
3,1,1,1,0.5190999999046325
3,1,0,1,1.933
3,1,0,0,0.4947000000476837
3,1,0,1,0.32489999997615815
3,1,1,1,0.5756000000238418
3,1,0,0,0.43739999997615814
3,1,0,1,2.564399999976158
3,1,0,1,2.822400000095367
3,0,1,1,7.794899999976158
3,0,1,1,1.0217999999523164
3,0,1,0,3.346700000047684
3,0,1,1,1.0064000000953675
3,0,0,0,11.466699999928474
3,0,0,1,1.025
3,0,1,1,1.0182999999523163
3,0,1,0,0.6906000000238418
3,0,0,0,0.3173000000715256
3,0,1,1,0.12469999992847444
3,0,0,0,0.8918999999761581
3,0,0,0,0.3562000000476837
3,0,1,1,0.29929999995231626
3,0,0,0,0.345
3,0,0,1,0.4782000000476837
3,0,1,1,0.36210000002384185
3,0,1,0,0.7825
3,0,0,0,0.3888000000715256
3,0,0,0,0.7372999999523163
3,0,0,0,0.6212000000476837
3,0,1,1,0.8423999999761581
3,0,0,0,0.48279999995231626
3,0,0,0,0.5066000000238419
3,0,1,1,0.34930000007152556
4,0,0,0,3.541100000023842
4,0,0,1,0.6423999999761582
4,0,0,0,1.4611999999284744
4,0,1,1,0.40910000002384184
4,0,1,0,0.34760000002384184
4,0,0,1,0.7513000000715255
4,0,0,1,0.30589999997615813
4,0,1,1,0.3296000000238419
4,0,0,0,0.8798999999761581
4,0,1,1,0.34960000002384184
4,0,0,1,0.3382000000476837
4,0,1,1,0.37890000009536745
4,0,0,0,0.39139999997615815
4,0,1,1,0.4118999999761581
4,0,0,1,0.3504000000953674
4,0,1,1,0.46539999997615816
4,0,0,0,0.8428999999761582
4,0,0,1,0.33689999997615816
4,0,1,0,0.2807999999523163
4,0,1,1,0.2995
4,0,1,1,0.34089999997615816
4,0,1,0,0.784
4,0,1,1,0.4328000000715256
4,0,0,0,0.8412999999523163
4,0,1,1,0.36629999995231627
4,0,1,1,0.4665
4,0,1,1,0.38470000004768373
4,0,0,1,0.40319999992847444
4,0,1,0,0.3891000000238419
4,0,1,1,0.3825
4,0,0,1,0.36339999997615813
4,0,1,1,0.4237000000476837
4,0,0,1,0.4385
4,0,1,1,0.5038000000715256
4,0,1,1,0.39819999992847444
4,0,0,1,0.39889999997615816
4,0,1,1,0.30910000002384186
4,0,1,0,0.3765
4,0,0,1,0.5423000000715256
4,0,0,1,0.4506999999284744
4,0,0,1,0.5036000000238419
4,0,0,0,0.18639999997615816
4,0,0,1,0.7165
4,0,0,0,0.364
4,0,1,0,0.2945
4,0,0,1,0.3510999999046326
4,0,1,1,0.25889999997615815
4,0,0,1,0.5288999999761581
4,1,1,1,0.5968999999761582
4,1,0,0,0.8128999999761581
4,1,1,1,0.3972999999523163
4,1,1,1,0.4192000000476837
4,1,1,1,0.39139999997615815
4,1,1,1,0.5223999999761582
4,1,1,1,0.29010000002384184
4,1,0,1,0.6947000000476837
4,1,0,0,0.3157999999523163
4,1,1,1,0.335
4,1,0,1,0.31960000002384187
4,1,0,0,0.3641999999284744
4,1,1,1,0.46919999992847444
4,1,0,0,0.3093000000715256
4,1,1,0,0.5152999999523162
4,1,1,1,0.4965
4,1,0,0,0.8412999999523163
4,1,0,0,0.5947999999523162
4,1,0,0,0.36260000002384185
4,1,0,1,0.4205
4,1,0,0,0.12880000007152556
4,1,1,1,0.49039999997615813
4,1,0,1,0.2812999999523163
4,1,1,1,0.105
4,0,1,1,0.09910000002384185
4,0,1,1,0.35679999995231626
4,0,0,1,0.29279999995231626
4,0,0,0,0.057199999928474424
4,0,0,1,0.043799999952316294
4,0,0,0,0.32539999997615815
4,0,1,1,0.006599999904632568
4,0,1,1,0.07170000004768372
4,0,1,1,0.22989999997615818
4,0,1,1,0.249
4,0,1,1,0.2042999999523163
4,0,1,1,0.10119999992847444
4,0,1,1,0.2722999999523163
4,0,0,1,0.25789999997615815
4,0,1,1,0.098
4,0,0,1,0.19039999997615817
4,0,0,1,0.26589999997615815
